##################################################
Knowledge Graph : /home/piod7321/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-16/vertex_ai/gemini-2.5-flash/merged/merged_graph_4.ttl
Number of Nodes : 397
Number of edges : 747
cumulative number of nodes : 397
degree_histogram : [0, 128, 68, 63, 42, 24, 14, 9, 8, 6, 8, 7, 4, 5, 2, 2, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
number of self loop : 0
####  KPIs ####
DiGraph density : 0.004751545683535608
Average degree connectivity : {4: 4.767857142857143, 9: 3.462962962962963, 6: 4.392857142857143, 1: 0.2734375, 5: 2.8916666666666666, 2: 0.6764705882352942, 14: 5.178571428571429, 3: 2.4232804232804233, 10: 2.4625, 11: 4.116883116883117, 22: 2.227272727272727, 7: 3.3492063492063493, 12: 3.7916666666666665, 8: 4.609375, 15: 3.066666666666667, 35: 5.4, 23: 3.0217391304347827, 16: 3.4375, 13: 4.2, 24: 2.875, 17: 7.647058823529412}
#### Subject, Object, predicate ####
OrangeCorp_extra_node_2,Email,{'label': 'agentPreferredContactMethod', 'color': 'white'}
Event_InterfaceDown_extra_node_2,OpPlan_InterfaceRestart,{'label': 'alarmProposedRepairAction', 'color': 'white'}
Event_InterfaceDown_extra_node_2,Major,{'label': 'alarmSeverity', 'color': 'white'}
Event_InterfaceDown_extra_node_2,Router_Core_01,{'label': 'logOriginatingManagedObject', 'color': 'white'}
Event_InterfaceDown_extra_node_2,MonitoringSystemApp,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
Event_InterfaceDown_extra_node_2,CorrectiveAction_RestartInterface,{'label': 'alarmMitigatedBy', 'color': 'white'}
OpPlan_InterfaceRestart,PostCond_InterfaceUp,{'label': 'operationPlanPostCondition', 'color': 'white'}
OpPlan_InterfaceRestart,PreCond_InterfaceDown,{'label': 'operationPlanPreCondition', 'color': 'white'}
BobJohnson,OrangeCorp,{'label': 'org#memberOf', 'color': 'white'}
BobJohnson,mailto:bob.johnson@example.com,{'label': 'mbox', 'color': 'white'}
BobJohnson,OrangeCorp_extra_node_1,{'label': 'org#memberOf', 'color': 'white'}
OrangeCorp,Email,{'label': 'agentPreferredContactMethod', 'color': 'white'}
OrangeCorp,EmailContactMethod,{'label': 'agentPreferredContactMethod', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,HighSeverity,{'label': 'troubleTicketSeverity', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,RouterCore01,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,P1Priority,{'label': 'troubleTicketPriority', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,NetworkOperationsTeam,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,FailureType,{'label': 'troubleTicketType', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,SupervisionOrigin,{'label': 'troubleTicketOrigin', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,InternetAccessService,{'label': 'troubleTicketRelatedService', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,Event_InterfaceDown,{'label': 'troubleTicketTrigger', 'color': 'white'}
TroubleTicket_CR01_InterfaceDown,InProgressStatus,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TT_20240423_001_Note1,Diagnosis,{'label': 'troubleTicketNoteOperationType', 'color': 'white'}
TT_20240423_001_Note1,Internal,{'label': 'troubleTicketNoteCommentType', 'color': 'white'}
TT_20240423_001_Note1,TT_20240423_001,{'label': 'isPartOf', 'color': 'white'}
TT_20240423_001_Note1,JohnDoe_extra_node_3,{'label': 'creator', 'color': 'white'}
Router_Core_01,Router,{'label': 'resourceType', 'color': 'white'}
Router_Core_01,IP_10_0_0_1,{'label': 'resourceManagementIPAddress', 'color': 'white'}
Router_Core_01,Cisco_ASR9K,{'label': 'resourceProductModel', 'color': 'white'}
Router_Core_01,In Production,{'label': 'resourceUsageState', 'color': 'white'}
Router_Core_01,10.0.0.1,{'label': 'resourceManagementIPAddress', 'color': 'white'}
Router_Core_01,NOC_Team,{'label': 'resourceManagedBy', 'color': 'white'}
Router_Core_01,Rack_A1_L5,{'label': 'locatedAtLocus', 'color': 'white'}
Router_Core_01,Rack_A1_L06,{'label': 'locatedAtLocus', 'color': 'white'}
Router_Core_01,CustomerPortalApp_extra_node_2,{'label': 'resourceForApplication', 'color': 'white'}
WebServer01_extra_node_0,IP_192_168_1_10,{'label': 'resourceManagementIPAddress', 'color': 'white'}
WebServer01_extra_node_0,CustomerPortalApp_extra_node_0,{'label': 'resourceForApplication', 'color': 'white'}
WebServer01_extra_node_0,AppSupportTeam_extra_node_0,{'label': 'resourceManagedBy', 'color': 'white'}
WebServer01_extra_node_0,HPProLiantDL380_extra_node_0,{'label': 'resourceProductModel', 'color': 'white'}
WebServer01_extra_node_0,OperationalState_extra_node_0,{'label': 'resourceUsageState', 'color': 'white'}
WebServer01_extra_node_0,ServerType_extra_node_0,{'label': 'resourceType', 'color': 'white'}
WebServer01_extra_node_0,RackA1,{'label': 'locatedAtLocus', 'color': 'white'}
CR_20231115_001,JohnDoe_extra_node_0,{'label': 'changeRequestInitiatorParty', 'color': 'white'}
CR_20231115_001,SoftwareUpgradeCause_extra_node_0,{'label': 'changeRequestChangeCause', 'color': 'white'}
CR_20231115_001,PreventativeMaintenanceCategory_extra_node_0,{'label': 'changeRequestCategory', 'color': 'white'}
CR_20231115_001,ScheduledStatus_extra_node_0,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
CR_20231115_001,OP_RouterUpgrade,{'label': 'actionCorrelatedOperationPlan', 'color': 'white'}
CR_20231115_001,StandardChangeType_extra_node_0,{'label': 'changeRequestType', 'color': 'white'}
CR_20231115_001,CoreRouter02,{'label': 'changeRequestImpact', 'color': 'white'}
JohnDoe_extra_node_0,NetworkTeam,{'label': 'org#memberOf', 'color': 'white'}
JohnDoe_extra_node_0,CoreRouter01_extra_node_0,{'label': 'agentManagesResource', 'color': 'white'}
JohnDoe_extra_node_0,mailto:john.doe@example.com,{'label': 'mbox', 'color': 'white'}
JohnDoe_extra_node_0,CoreRouter02,{'label': 'agentManagesResource', 'color': 'white'}
AppSupportTeam_extra_node_0,TicketingSystemContactMethod_extra_node_0,{'label': 'agentPreferredContactMethod', 'color': 'white'}
AppSupportTeam_extra_node_0,ITOperationsDept,{'label': 'org#unitOf', 'color': 'white'}
Event_ConfigChange_RTR01,Router_Core_01,{'label': 'logOriginatingManagedObject', 'color': 'white'}
Event_ConfigChange_RTR01,JohnDoe_extra_node_2,{'label': 'logOriginatingAgent', 'color': 'white'}
GigabitEthernet0_0_1_CR01,up,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
GigabitEthernet0_0_1_CR01,WANLink_Paris_Lyon,{'label': 'networkInterfaceConnects', 'color': 'white'}
GigabitEthernet0_0_1_CR01,up_extra_node_4,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
GigabitEthernet0_0_1_CR01,CoreRouter01,{'label': 'networkInterfaceOf', 'color': 'white'}
EdgeSwitch05,RackL06,{'label': 'locatedAtLocus', 'color': 'white'}
EdgeSwitch05,Switch,{'label': 'resourceType', 'color': 'white'}
EdgeSwitch05,In Use,{'label': 'resourceUsageState', 'color': 'white'}
EdgeSwitch05,NetworkOpsTeam,{'label': 'resourceManagedBy', 'color': 'white'}
EdgeSwitch05,JuniperEX4600,{'label': 'resourceProductModel', 'color': 'white'}
EdgeSwitch05,IP_10_0_0_5,{'label': 'resourceManagementIPAddress', 'color': 'white'}
RackL06,ServerRoomA,{'label': 'bot#hasSpace', 'color': 'white'}
CR_20240310_005,Scheduled,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
CR_20240310_005,Software upgrade,{'label': 'changeRequestChangeCause', 'color': 'white'}
CR_20240310_005,AliceSmith,{'label': 'changeRequestInitiatorParty', 'color': 'white'}
CR_20240310_005,Standard Change,{'label': 'changeRequestType', 'color': 'white'}
CR_20240310_005,Preventative maintenance,{'label': 'changeRequestCategory', 'color': 'white'}
CR_20240310_005,OperationPlan_RouterRestart,{'label': 'actionCorrelatedOperationPlan', 'color': 'white'}
CR_20240310_005,Event_ConfigChange,{'label': 'documentStatusHistory', 'color': 'white'}
CR_20240310_005,NetworkOpsTeam,{'label': 'changeRequestActorParty', 'color': 'white'}
CR_20240310_005,Router01,{'label': 'changeRequestImpact', 'color': 'white'}
CR_20240310_005,Closed,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
ServerWeb01_Eth0,Link_Router01_ServerWeb01,{'label': 'networkInterfaceConnects', 'color': 'white'}
ServerWeb01_Eth0,up_extra_node_1,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
ServerWeb01_Eth0,ServerWeb01,{'label': 'networkInterfaceOf', 'color': 'white'}
ServerWeb01_Eth0,up,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
Link_Router01_ServerWeb01,NetworkOpsTeam,{'label': 'resourceManagedBy', 'color': 'white'}
Link_Router01_ServerWeb01,Router01,{'label': 'networkLinkTerminationResourceOrigin', 'color': 'white'}
Link_Router01_ServerWeb01,ServerWeb01,{'label': 'networkLinkTerminationResourceDestination', 'color': 'white'}
CRM_Prod_Module,ApplicationSupportTeam,{'label': 'applicationModuleAdministrationTeam', 'color': 'white'}
CRM_Prod_Module,Platinum,{'label': 'applicationModuleSlaLevel', 'color': 'white'}
CRM_Prod_Module,CRM_Application,{'label': 'applicationModuleOf', 'color': 'white'}
CRM_Prod_Module,In Production,{'label': 'applicationModuleStatus', 'color': 'white'}
ApplicationSupportTeam,OrangeCorp_extra_node_4,{'label': 'org#unitOf', 'color': 'white'}
ApplicationSupportTeam,OrangeCorp,{'label': 'org#unitOf', 'color': 'white'}
ApplicationSupportTeam,Ticketing System,{'label': 'agentPreferredContactMethod', 'color': 'white'}
AppLog_System,Logging System,{'label': 'applicationType', 'color': 'white'}
TT_20231026_001_Note1,Internal,{'label': 'troubleTicketNoteCommentType', 'color': 'white'}
TT_20231026_001_Note1,JohnDoe,{'label': 'creator', 'color': 'white'}
TT_20231026_001_Note1,Diagnosis,{'label': 'troubleTicketNoteOperationType', 'color': 'white'}
TT_20231026_001_Note1,JohnDoe_extra_node_2,{'label': 'creator', 'color': 'white'}
TT_20231026_001_Note1,TT_20231026_001,{'label': 'isPartOf', 'color': 'white'}
TT_20231026_001_Note1,CorrectiveAction_RestartInterface,{'label': 'troubleTicketNoteCorrelatedExecution', 'color': 'white'}
ChangeRequest_20240424_001,RouterCore01_extra_node_5,{'label': 'changeRequestImpact', 'color': 'white'}
ChangeRequest_20240424_001,StandardChangeType_extra_node_5,{'label': 'changeRequestType', 'color': 'white'}
ChangeRequest_20240424_001,ScheduledStatus,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
ChangeRequest_20240424_001,PreventativeMaintenanceCategory,{'label': 'changeRequestCategory', 'color': 'white'}
ChangeRequest_20240424_001,SoftwareUpgradeCause,{'label': 'changeRequestChangeCause', 'color': 'white'}
ChangeRequest_20240424_001,JohnDoe_extra_node_7,{'label': 'changeRequestPilotParty', 'color': 'white'}
ChangeRequest_20240424_001,JohnDoe_extra_node_5,{'label': 'changeRequestPilotParty', 'color': 'white'}
ChangeRequest_20240424_001,RouterCore01,{'label': 'changeRequestImpact', 'color': 'white'}
ChangeRequest_20240424_001,JohnDoe_extra_node_6,{'label': 'changeRequestPilotParty', 'color': 'white'}
ChangeRequest_20240424_001,StandardChangeType,{'label': 'changeRequestType', 'color': 'white'}
ChangeRequest_20240424_001,ScheduledStatus_extra_node_5,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
ChangeRequest_20240424_001,SoftwareUpgradeCause_extra_node_5,{'label': 'changeRequestChangeCause', 'color': 'white'}
RouterCore01_extra_node_5,DataCenterA_Rack2_U5_extra_node_5,{'label': 'locatedAtLocus', 'color': 'white'}
RouterCore01_extra_node_5,RouterType_extra_node_5,{'label': 'resourceType', 'color': 'white'}
RouterCore01_extra_node_5,NetworkOperationsTeam_extra_node_5,{'label': 'resourceManagedBy', 'color': 'white'}
RouterCore01_extra_node_5,CiscoASR9K_extra_node_5,{'label': 'resourceProductModel', 'color': 'white'}
RouterCore01_extra_node_5,OperationalState_extra_node_5,{'label': 'resourceUsageState', 'color': 'white'}
RouterCore01_extra_node_5,RouterCore01_MgmtIP_extra_node_5,{'label': 'resourceManagementIPAddress', 'color': 'white'}
RouterCore01_extra_node_5,InternetAccessService_extra_node_5,{'label': 'resourceForApplication', 'color': 'white'}
Event_RouterInterfaceDown,NMS_System,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
Event_RouterInterfaceDown,Critical_extra_node_3,{'label': 'alarmSeverity', 'color': 'white'}
Event_RouterInterfaceDown,Router_Core_01,{'label': 'logOriginatingManagedObject', 'color': 'white'}
NMS_System,Monitoring Tool,{'label': 'applicationType', 'color': 'white'}
NetworkTeam,PhoneContactMethod_extra_node_0,{'label': 'agentPreferredContactMethod', 'color': 'white'}
NetworkTeam,ITOperationsDept,{'label': 'org#unitOf', 'color': 'white'}
TT_20240315_001,Failure,{'label': 'troubleTicketType', 'color': 'white'}
TT_20240315_001,Major,{'label': 'troubleTicketSeverity', 'color': 'white'}
TT_20240315_001,Event_RouterDown,{'label': 'documentStatusHistory', 'color': 'white'}
TT_20240315_001,Router01,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TT_20240315_001,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TT_20240315_001,Customer,{'label': 'troubleTicketOrigin', 'color': 'white'}
TT_20240315_001,CustomerPortalApp,{'label': 'troubleTicketRelatedService', 'color': 'white'}
TT_20240315_001,AliceSmith,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TT_20240315_001,Supervision,{'label': 'troubleTicketOrigin', 'color': 'white'}
TT_20240315_001,P1,{'label': 'troubleTicketPriority', 'color': 'white'}
TT_20240315_001,RouterRestartProcedure,{'label': 'actionCorrelatedOperationPlan', 'color': 'white'}
TT_20240315_001,CustomerPortalApp_extra_node_1,{'label': 'troubleTicketRelatedService', 'color': 'white'}
EdgeSwitch05_Gi0_1,EdgeSwitch05,{'label': 'networkInterfaceOf', 'color': 'white'}
EdgeSwitch05_Gi0_1,up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
EdgeSwitch05_Gi0_1,Link_EdgeSwitch05_CoreRouter01,{'label': 'networkInterfaceConnects', 'color': 'white'}
EdgeSwitch05_Gi0_1,Link_WebAppServer01_EdgeSwitch05,{'label': 'networkInterfaceConnects', 'color': 'white'}
JohnDoe,NetworkOpsTeam,{'label': 'org#memberOf', 'color': 'white'}
JohnDoe,CoreRouter01,{'label': 'agentManagesResource', 'color': 'white'}
JohnDoe,WANLink_Paris_Lyon,{'label': 'agentManagesResource', 'color': 'white'}
JohnDoe,EmailContactMethod,{'label': 'agentPreferredContactMethod', 'color': 'white'}
JohnDoe,NetworkOperationsTeam,{'label': 'org#memberOf', 'color': 'white'}
JohnDoe,Internal Chat,{'label': 'agentPreferredContactMethod', 'color': 'white'}
JohnDoe_extra_node_4,WANLink_Paris_Lyon,{'label': 'agentManagesResource', 'color': 'white'}
JohnDoe_extra_node_4,CoreRouter01,{'label': 'agentManagesResource', 'color': 'white'}
JohnDoe_extra_node_4,NetworkOperationsTeam_extra_node_4,{'label': 'org#memberOf', 'color': 'white'}
WANLink_Paris_Lyon,CoreRouter01,{'label': 'networkLinkTerminationResourceOrigin', 'color': 'white'}
WANLink_Paris_Lyon,NetworkOperationsTeam_extra_node_4,{'label': 'resourceManagedBy', 'color': 'white'}
WANLink_Paris_Lyon,NetworkOperationsTeam,{'label': 'resourceManagedBy', 'color': 'white'}
WANLink_Paris_Lyon,CoreRouter02,{'label': 'networkLinkTerminationResourceDestination', 'color': 'white'}
Link_Router_Web_CP,Router_Core_01,{'label': 'networkLinkTerminationResourceOrigin', 'color': 'white'}
Link_Router_Web_CP,NOC_Team,{'label': 'resourceManagedBy', 'color': 'white'}
Link_Router_Web_CP,WebServer_CP_01,{'label': 'networkLinkTerminationResourceDestination', 'color': 'white'}
Rack_A1_L5,ServerRoom_A1,{'label': 'subSystemOf', 'color': 'white'}
ServerRoom_A1,DataCenter_Paris,{'label': 'bot#hasSpace', 'color': 'white'}
ServerWeb01,In Production,{'label': 'resourceUsageState', 'color': 'white'}
ServerWeb01,10.0.0.10_extra_node_1,{'label': 'resourceManagementIPAddress', 'color': 'white'}
ServerWeb01,10.0.0.10,{'label': 'resourceManagementIPAddress', 'color': 'white'}
ServerWeb01,OrangeCorp_extra_node_1,{'label': 'resourceManagedBy', 'color': 'white'}
ServerWeb01,OrangeCorp,{'label': 'resourceManagedBy', 'color': 'white'}
ServerWeb01,CustomerPortalApp,{'label': 'resourceForApplication', 'color': 'white'}
ServerWeb01,Virtual Machine,{'label': 'resourceType', 'color': 'white'}
ServerWeb01,RackA1_U42,{'label': 'locatedAtLocus', 'color': 'white'}
ServerWeb01,CustomerPortalApp_extra_node_1,{'label': 'resourceForApplication', 'color': 'white'}
MonitoringSystem,Critical,{'label': 'applicationBusinessImportance', 'color': 'white'}
MonitoringSystem,Monitoring Tool,{'label': 'applicationType', 'color': 'white'}
MonitoringSystem,NetworkOpsTeam,{'label': 'elementManagedBy', 'color': 'white'}
MonitoringSystem,Critical_extra_node_1,{'label': 'applicationBusinessImportance', 'color': 'white'}
TT_20231026_001,InProgress,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TT_20231026_001,Customer,{'label': 'troubleTicketOrigin', 'color': 'white'}
TT_20231026_001,P1Priority_extra_node_0,{'label': 'troubleTicketPriority', 'color': 'white'}
TT_20231026_001,CriticalWebApp,{'label': 'troubleTicketRelatedService', 'color': 'white'}
TT_20231026_001,Event_InterfaceDown,{'label': 'troubleTicketTrigger', 'color': 'white'}
TT_20231026_001,CoreRouter01,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TT_20231026_001,Event_TT_StatusChange_Resolved,{'label': 'documentStatusHistory', 'color': 'white'}
TT_20231026_001,WebAppServer01,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TT_20231026_001,Event_TT_StatusChange_InProgress,{'label': 'documentStatusHistory', 'color': 'white'}
TT_20231026_001,NetworkOpsTeam,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TT_20231026_001,SupervisionOrigin,{'label': 'troubleTicketOrigin', 'color': 'white'}
TT_20231026_001,Failure,{'label': 'troubleTicketType', 'color': 'white'}
TT_20231026_001,AppSupportTeam,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TT_20231026_001,CustomerPortalApp_extra_node_2,{'label': 'troubleTicketRelatedService', 'color': 'white'}
TT_20231026_001,Blocking,{'label': 'troubleTicketSeverity', 'color': 'white'}
TT_20231026_001,NetworkTeam,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
TT_20231026_001,P1,{'label': 'troubleTicketPriority', 'color': 'white'}
TT_20231026_001,CustomerPortalApp_extra_node_0,{'label': 'troubleTicketRelatedService', 'color': 'white'}
TT_20231026_001,InProgressStatus_extra_node_0,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TT_20231026_001,Event_InterfaceDown_extra_node_2,{'label': 'troubleTicketTrigger', 'color': 'white'}
TT_20231026_001,Network equipment failure,{'label': 'problemCategory', 'color': 'white'}
TT_20231026_001,Supervision,{'label': 'troubleTicketOrigin', 'color': 'white'}
TT_20231026_001,Managed backbone networks,{'label': 'problemResponsibility', 'color': 'white'}
TT_20231026_001,Interrupted service,{'label': 'troubleTicketCriticity', 'color': 'white'}
TT_20231026_001,Immediate Intervention,{'label': 'troubleTicketUrgency', 'color': 'white'}
TT_20231026_001,FailureType_extra_node_0,{'label': 'troubleTicketType', 'color': 'white'}
TT_20231026_001,Router_Core_01,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TT_20231026_001,Total breakdown,{'label': 'troubleTicketCategory', 'color': 'white'}
TT_20231026_001,Event_CR01_Eth0_Down,{'label': 'troubleTicketTrigger', 'color': 'white'}
TT_20231026_001,CoreRouter01_extra_node_0,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TT_20231026_001,BlockingSeverity,{'label': 'troubleTicketSeverity', 'color': 'white'}
TT_20231026_001,NOC_Team,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
Event_AppErrorLog,Major,{'label': 'alarmSeverity', 'color': 'white'}
Event_AppErrorLog,AppLog_System,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
Event_AppErrorLog,Server_App_01,{'label': 'logOriginatingManagedObject', 'color': 'white'}
TroubleTicketNote_20240423_001_1,JohnDoe_extra_node_5,{'label': 'creator', 'color': 'white'}
TroubleTicketNote_20240423_001_1,JohnDoe_extra_node_6,{'label': 'creator', 'color': 'white'}
TroubleTicketNote_20240423_001_1,InternalCommentType,{'label': 'troubleTicketNoteCommentType', 'color': 'white'}
TroubleTicketNote_20240423_001_1,TroubleTicket_20240423_001,{'label': 'isPartOf', 'color': 'white'}
TroubleTicketNote_20240423_001_1,DiagnosisOperationType,{'label': 'troubleTicketNoteOperationType', 'color': 'white'}
JohnDoe_extra_node_5,EmailContactMethod_extra_node_5,{'label': 'agentPreferredContactMethod', 'color': 'white'}
JohnDoe_extra_node_5,NetworkOperationsTeam_extra_node_5,{'label': 'org#memberOf', 'color': 'white'}
CustomerPortal_Dev,CustomerPortalApp_extra_node_2,{'label': 'applicationModuleOf', 'color': 'white'}
CustomerPortal_Dev,AppSupportTeam_extra_node_2,{'label': 'applicationModuleAdministrationTeam', 'color': 'white'}
CustomerPortal_Dev,In Development,{'label': 'applicationModuleStatus', 'color': 'white'}
CustomerPortalApp_extra_node_2,CustomerPortal_Prod,{'label': 'subSystem', 'color': 'white'}
CustomerPortalApp_extra_node_2,Critical_extra_node_2,{'label': 'applicationBusinessImportance', 'color': 'white'}
CustomerPortalApp_extra_node_2,Customer Facing Service,{'label': 'applicationType', 'color': 'white'}
NetworkOperationsTeam_extra_node_4,OrangeCorp_extra_node_4,{'label': 'org#unitOf', 'color': 'white'}
NetworkOperationsTeam_extra_node_4,Hotline,{'label': 'agentPreferredContactMethod', 'color': 'white'}
OrangeCorp_extra_node_4,Email,{'label': 'agentPreferredContactMethod', 'color': 'white'}
CriticalWebApp,Customer-Facing Service,{'label': 'applicationType', 'color': 'white'}
CriticalWebApp,High,{'label': 'applicationBusinessImportance', 'color': 'white'}
Event_AppError,WebAppServer01,{'label': 'logOriginatingManagedObject', 'color': 'white'}
Event_AppError,APM_System,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
Event_AppError,Major,{'label': 'alarmSeverity', 'color': 'white'}
WebAppServer01,In Use,{'label': 'resourceUsageState', 'color': 'white'}
WebAppServer01,AppSupportTeam,{'label': 'resourceManagedBy', 'color': 'white'}
WebAppServer01,HPProLiantDL380,{'label': 'resourceProductModel', 'color': 'white'}
WebAppServer01,IP_192_168_1_10,{'label': 'resourceManagementIPAddress', 'color': 'white'}
WebAppServer01,Server,{'label': 'resourceType', 'color': 'white'}
WebAppServer01,CriticalWebApp,{'label': 'resourceForApplication', 'color': 'white'}
WebAppServer01,RackL06,{'label': 'locatedAtLocus', 'color': 'white'}
AppSupportTeam_extra_node_2,OrangeCorp_extra_node_2,{'label': 'org#unitOf', 'color': 'white'}
AppSupportTeam_extra_node_2,Ticketing System,{'label': 'agentPreferredContactMethod', 'color': 'white'}
WAN_Link_Paris_ProviderA,Router_Core_01_GE0_0_0,{'label': 'networkInterfaceConnects', 'color': 'white'}
WAN_Link_Paris_ProviderA,Router_Core_01,{'label': 'networkLinkTerminationResourceOrigin', 'color': 'white'}
WAN_Link_Paris_ProviderA,ProviderA_Router_Edge,{'label': 'networkLinkTerminationResourceDestination', 'color': 'white'}
Router_Core_01_GE0_0_0,Physical,{'label': 'networkInterfaceType', 'color': 'white'}
Router_Core_01_GE0_0_0,Router_Core_01,{'label': 'networkInterfaceOf', 'color': 'white'}
Router_Core_01_GE0_0_0,up_extra_node_3,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
TroubleTicket_20240423_001,Event_InterfaceDown_extra_node_5,{'label': 'troubleTicketTrigger', 'color': 'white'}
TroubleTicket_20240423_001,InProgressStatus_extra_node_5,{'label': 'troubleTicketStatusCurrent', 'color': 'white'}
TroubleTicket_20240423_001,P1Priority_extra_node_5,{'label': 'troubleTicketPriority', 'color': 'white'}
TroubleTicket_20240423_001,WebServer01,{'label': 'troubleTicketRelatedResource', 'color': 'white'}
TroubleTicket_20240423_001,BlockingSeverity,{'label': 'troubleTicketSeverity', 'color': 'white'}
TroubleTicket_20240423_001,Event_InterfaceDown_extra_node_7,{'label': 'troubleTicketTrigger', 'color': 'white'}
TroubleTicket_20240423_001,AppSupportTeam_extra_node_6,{'label': 'troubleTicketRelatedParty', 'color': 'white'}
